Geneid	control_RPF_3	Fmr1_RNA_2	Fmr1_RPF_1	control_RPF_2	Fmr1_RNA_3	Fmr1_RNA_4	control_RNA_3_x	Fmr1_RPF_2	control_RNA_2	control_RNA_3_y	Fmr1_RNA_1	control_RNA_1	Fmr1_RPF_3	control_RPF_1		
Spaar	0	9	1	1	5	10	5	0	12	5	9	12	0	0		
Ctns	47	319	43	52	217	252	207	51	236	207	284	229	68	58		
Prok1	0	0	0	1	1	0	0	0	2	0	0	2	0	0		
Tmem181a	105	1200	106	97	875	891	697	121	942	697	1044	980	129	89		
Arpp19	1328	11958	952	1249	8823	8718	9359	1377	8340	9359	10027	7770	1203	1352		
Unkl	93	356	82	121	330	302	293	85	311	293	350	344	132	71		
Epb41l4a	8	90	20	23	72	90	55	17	79	55	80	80	20	11		
Mpeg1	148	631	153	185	411	399	516	184	458	516	586	469	177	164		
Rex2	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
Prl2c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Mfng	3	50	3	2	33	36	47	3	43	47	51	45	1	3		
Mfge8	1032	2364	773	1071	1902	2495	1625	1091	1598	1625	2126	1712	1087	933		
Hist1h2ao	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Trim46	271	1303	274	384	886	964	849	309	1016	849	1159	1033	401	237		
Gpr183	11	62	4	9	43	44	35	6	30	35	43	46	9	11		
Smim10l2a	1	576	3	3	456	468	473	4	493	473	487	566	7	7		
Dmxl2	1813	10190	2099	2645	8017	8589	7966	1919	9600	7966	8996	9491	2831	1731		
Lexm	0	4	1	0	0	2	2	0	2	2	1	4	1	0		
Abhd16b	0	5	0	1	0	1	1	0	1	1	4	0	0	0		
Sc5d	375	1937	294	385	1489	1612	1337	403	1570	1337	1694	1513	401	382		
Zbtb44	84	2306	58	97	1766	1718	1935	100	2124	1935	1944	1971	91	87		
Rbm34	94	537	71	109	448	443	490	94	561	490	466	497	100	83		
Npvf	0	1	0	0	0	1	1	0	0	1	0	0	0	1		
Mageh1	208	615	198	257	504	546	526	218	669	526	511	611	262	208		
Yipf7	0	1	1	3	1	3	1	0	1	1	1	3	1	0		
Tub	116	4190	114	140	3178	3443	2971	120	3575	2971	3793	3637	138	99		
Zbtb26	13	436	14	20	315	307	277	15	369	277	365	298	16	10		
Cdca7	12	91	23	17	81	85	77	18	73	77	91	77	19	14		
3300002I08Rik	2	25	1	3	14	17	12	2	29	12	22	32	2	1		
Kmt5c	10	122	14	8	104	125	79	11	110	79	117	130	18	14		
3110082I17Rik	33	90	42	43	97	110	85	34	118	85	93	115	63	35		
Pgf	1	23	5	1	38	27	19	5	44	19	41	31	13	6		
Kcns2	89	1200	79	100	978	1002	997	87	1065	997	960	1018	100	75		
Rmi1	1	118	3	2	108	78	105	5	125	105	108	133	3	2		
Rybp	19	445	16	30	379	421	420	17	423	420	445	322	19	22		
Sync	2	18	9	4	20	17	10	7	24	10	17	21	7	2		
Pigk	364	1592	320	435	1257	1202	1135	398	1366	1135	1339	1359	417	331		
Mrgprh	2	0	1	2	3	1	1	0	5	1	5	2	1	0		
Afg3l1	71	618	73	95	469	457	464	76	493	464	534	490	106	54		
Iqck	1	38	7	8	21	18	16	4	25	16	32	29	5	3		
Tepsin	55	261	44	66	220	221	161	51	220	161	248	201	63	37		
Pole2	4	16	4	9	16	14	10	6	22	10	21	11	7	8		
Rnf114	105	1203	99	91	926	1154	898	99	949	898	1112	945	116	90		
Gcfc2	21	110	23	34	95	80	59	37	98	59	102	93	31	25		
Nkiras2	42	103	32	51	81	81	80	41	88	80	95	80	45	36		
Psmb3	105	765	59	99	689	794	548	91	771	548	646	869	93	116		
Psg18	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1700080O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Cfh	129	623	179	208	556	525	432	172	691	432	565	677	269	169		
Cyb5a	436	1262	320	479	986	1089	857	486	1000	857	1007	969	494	432		
Rsph3a	6	53	1	6	35	45	29	3	31	29	45	50	3	2		
Txndc8	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Fitm1	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
Efcab1	13	94	10	27	99	118	95	9	111	95	80	105	15	15		
4933434E20Rik	28	1055	28	25	846	968	777	32	890	777	884	907	42	29		
Psmc6	826	2014	628	782	1593	1633	1702	825	1943	1702	1677	1773	857	727		
Ndufa5	569	1244	560	718	1212	1285	930	670	1484	930	1095	1465	771	525		
Ndufb2	648	1124	738	990	935	852	811	725	1066	811	1001	1175	943	640		
Plaat5	0	2	1	0	0	0	0	0	2	0	0	2	0	1		
Bbs2	157	418	118	161	330	331	291	161	393	291	420	399	166	158		
Trp53rkb	5	98	2	5	67	63	70	6	72	70	85	75	7	7		
Rpl37	45	2056	19	18	1941	2375	1421	38	1984	1421	1761	2022	25	28		
Med31	124	204	60	69	219	225	175	134	198	175	192	215	80	101		
Eri1	32	438	32	47	359	389	400	42	442	400	424	379	31	30		
Stard10	65	645	41	50	538	704	462	61	444	462	586	463	69	59		
Ndufa9	1042	2272	936	1242	1890	1970	1894	1158	2283	1894	2007	2331	1282	1028		
Sh3bgrl	352	2728	390	478	2478	2435	2693	375	2866	2693	2389	2449	532	349		
Rpl39	0	1342	0	0	1248	1388	929	1	1505	929	1211	1361	0	0		
Cinp	81	983	93	117	1073	1343	821	111	1012	821	923	1093	156	107		
Kif23	7	41	8	4	26	11	11	7	22	11	22	19	8	3		
Zfp329	50	1445	52	55	1031	1016	957	52	1165	957	1198	1093	68	54		
Med29	26	155	20	36	107	115	95	30	111	95	156	133	36	36		
Rrp15	40	199	27	33	147	186	111	33	142	111	136	158	49	32		
Rabgef1	188	758	158	253	650	691	632	198	647	632	627	655	230	171		
L3hypdh	10	29	10	16	26	31	25	7	52	25	29	40	11	12		
Tex101	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Litaf	56	294	41	76	265	246	185	43	238	185	267	239	59	44		
Utp11	129	197	108	166	198	202	188	147	164	188	176	210	173	111		
Tmsb10	0	1178	5	1	1217	1436	936	1	1189	936	1089	1449	4	2		
Ccdc77	12	105	5	9	57	77	60	11	103	60	101	82	18	11		
Son	891	5781	1156	1534	4292	4198	4025	936	5460	4025	5273	5148	1637	879		
Ube2t	17	24	8	10	19	25	22	10	17	22	15	22	11	13		
Atat1	179	695	177	267	500	598	399	208	549	399	663	526	247	186		
Gm3696	0	34	0	0	17	14	21	0	15	21	16	20	0	0		
Hdhd5	43	422	21	43	280	294	260	46	314	260	384	325	45	49		
Ptcd1	111	372	103	148	288	310	287	108	324	287	334	324	143	98		
Dcaf11	162	1250	165	173	918	1093	990	155	969	990	1144	1035	191	124		
Kif13b	85	778	122	148	628	564	557	90	684	557	681	695	136	80		
Ptpn22	5	8	0	0	10	6	10	1	5	10	14	8	2	1		
Cabp2	0	0	0	0	0	0	0	0	1	0	0	0	0	0		
Gja4	14	59	13	22	42	37	38	20	26	38	41	54	24	12		
Cspg5	1369	5866	1532	1972	5204	5492	4596	1566	5528	4596	5346	5418	2076	1354		
Micos10	370	902	346	503	532	781	633	365	695	633	826	663	465	345		
Tmem215	26	223	26	44	246	271	190	32	255	190	233	230	36	17		
Ifi27l2a	3	10	3	1	20	23	8	4	18	8	11	22	4	1		
Herc2	1330	11495	1686	2372	9553	9129	9435	1440	12345	9435	9944	12561	2370	1341		
Usp14	1350	3185	1230	1594	2666	2643	3113	1414	3007	3113	2917	2890	1638	1438		
Errfi1	106	947	92	127	658	764	632	126	771	632	834	731	131	109		
Opa1	870	6800	923	1118	5473	5716	5576	982	6569	5576	5977	6425	1208	802		
Sfmbt2	19	175	22	13	164	137	134	18	158	134	139	165	20	9		
Camk2b	4122	13945	4215	5751	11425	12118	10614	4576	12677	10614	12696	13688	5979	4062		
Pde4a	164	1620	148	168	1250	1242	1229	162	1214	1229	1541	1327	152	164		
Tcte1	10	54	6	8	38	32	21	11	35	21	44	42	6	6		
Pcdhga11	123	472	95	109	374	419	409	152	414	409	436	396	141	100		
Rpusd1	102	283	87	96	240	273	255	108	211	255	260	226	106	110		
Stk38	80	493	53	65	315	335	313	92	389	313	466	409	74	71		
BC048671	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
Rps6ka5	159	848	209	251	712	720	724	205	805	724	705	791	266	190		
Hmga1	0	16	0	0	14	10	12	0	16	12	19	7	0	0		
Vma21	33	913	31	50	700	612	780	42	838	780	750	692	28	43		
Zfp879	12	62	8	23	71	63	48	12	69	48	63	57	22	11		
Xcl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Lpl	116	520	113	199	432	416	440	120	451	440	448	466	160	112		
Smoc1	75	198	67	86	203	194	176	51	217	176	175	218	98	60		
Slc17a3	1	0	0	0	4	0	0	1	3	0	0	1	0	0		
Uqcrh	682	3252	597	815	2778	3036	2375	710	2910	2375	2890	3085	871	606		
Atp2b4	1192	6463	1523	2032	6845	7406	6113	1178	7844	6113	5823	8086	1972	1076		
Xrn2	376	1233	424	561	1047	1050	1043	476	1392	1043	1107	1373	562	431		
Micall2	12	22	4	18	25	27	23	11	26	23	33	25	17	7		
Cnn3	215	908	251	348	722	870	665	248	697	665	775	682	308	226		
Foxred1	113	681	108	142	527	519	471	144	577	471	564	626	158	121		
Wnt1	4	40	2	1	25	25	27	1	18	27	20	13	1	0		
Galntl5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Mtmr3	324	2946	336	457	2383	2524	2227	317	2559	2227	2492	2660	497	316		
Gm21379	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Dppa5a	0	0	0	0	0	0	1	0	0	1	0	0	0	0		
Pcbd1	20	79	21	33	74	94	40	17	86	40	60	97	21	22		
Grpel1	247	802	197	329	640	833	591	298	645	591	708	732	262	229		
Cptp	46	547	28	30	352	423	346	40	377	346	517	410	47	34		
Bhlhe41	156	989	124	157	709	609	857	189	723	857	869	672	164	153		
Zfp319	118	342	125	155	239	245	255	128	230	255	279	296	187	121		
Pigx	40	269	22	43	230	249	160	39	273	160	218	265	37	36		
Tie1	37	218	55	59	133	99	88	54	163	88	202	193	54	49		
Wfs1	555	1192	874	1048	1383	1527	1078	640	1372	1078	1025	1483	1148	534		
Samt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Col5a2	23	155	40	48	123	149	72	30	197	72	115	218	37	26		
Col8a1	27	172	30	44	143	164	129	17	178	129	117	157	30	23		
Gsta2	0	0	0	0	0	1	0	0	0	0	3	2	0	0		
4933405O20Rik	0	1	0	0	1	0	1	1	0	1	0	0	0	1		
Rfng	80	824	53	80	528	565	543	72	512	543	778	581	68	54		
Terf1	47	146	33	48	95	70	101	59	111	101	116	94	46	48		
Myf5	0	0	0	0	0	0	0	0	1	0	0	0	0	0		
Tmem29	58	438	57	70	369	403	346	64	407	346	422	417	71	49		
2010003K11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Nrcam	3357	12726	3953	5084	10159	11678	10833	3685	10810	10833	11529	10792	5331	3299		
Stx11	0	8	0	1	3	3	1	0	6	1	6	1	1	1		
Majin	0	1	0	0	1	1	0	0	1	0	1	1	0	0		
Fam122c	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Cdkn1c	19	73	39	30	102	105	87	26	128	87	84	90	60	25		
Hcrt	9	11	27	63	48	45	0	8	72	0	5	72	47	5		
Hcn1	384	3065	412	535	2627	2518	2566	459	3002	2566	2665	2874	576	383		
Pex14	129	751	151	202	725	890	594	157	684	594	656	753	189	138		
Matk	252	2036	288	372	1758	1769	1515	254	1863	1515	1978	1822	365	257		
Zfp280d	160	1418	153	212	1077	1114	1034	206	1197	1034	1146	1153	200	162		
Zadh2	78	220	92	104	171	164	278	89	181	278	205	181	117	93		
Trim11	52	368	62	100	281	301	239	60	278	239	341	313	63	49		
Samd9l	34	228	19	43	209	225	162	22	238	162	204	220	36	36		
Ephx1	100	278	88	123	260	288	236	102	248	236	238	254	135	90		
Cpeb2	311	2384	343	383	1836	1590	2307	317	2251	2307	2037	2079	417	322		
Pate5	0	0	0	0	0	2	0	0	1	0	1	1	0	0		
Ncald	1549	14163	1305	1757	13096	14800	12158	1650	13177	12158	12092	13297	1846	1525		
Zranb3	26	201	28	36	159	191	129	26	208	129	194	196	27	16		
Dytn	0	0	0	1	1	1	0	0	0	0	2	0	1	2		
Vmn1r241	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Maged2	278	758	303	408	672	690	512	294	777	512	664	751	446	267		
A830018L16Rik	269	3168	260	327	2793	2945	2953	286	3132	2953	2719	2962	362	266		
Prlh	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Gm3238	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Gm11567	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Gm9376	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Dpp9	464	1097	372	493	748	808	905	446	854	905	1044	853	575	432		
Arl15	146	1205	114	151	1063	1230	940	141	1204	940	1033	1117	132	120		
Srek1	163	1029	198	233	728	734	645	177	960	645	949	923	277	146		
Lrch3	111	878	133	133	869	968	660	138	725	660	852	788	163	119		
Birc7	1	1	1	1	4	2	1	0	4	1	3	1	0	1		
Cadm1	1148	4339	1298	1626	4478	4645	4228	1220	4838	4228	3880	4629	1719	1125		
Rexo1	79	750	100	125	612	639	548	96	643	548	647	692	127	68		
Spef1l	1	8	0	1	15	11	4	0	10	4	10	8	1	1		
Rgs6	105	1571	92	153	1097	1242	1137	128	1182	1137	1373	1158	119	106		
Zfp423	23	321	42	42	319	342	223	23	301	223	268	312	61	18		
Ccn5	0	5	1	1	2	3	0	0	3	0	4	3	0	0		
Slco1b2	0	10	0	0	0	2	0	0	3	0	3	0	0	0		
Smco2	2	0	0	0	0	0	1	0	3	1	1	2	0	0		
Fam160a2	189	2766	178	246	2084	1986	1935	173	2359	1935	2437	2197	298	174		
Bicral	83	1417	91	104	1039	1050	906	104	1061	906	1225	1091	133	79		
Myom1	4	51	6	4	37	43	26	4	52	26	53	45	6	3		
Defa5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Kdelr1	399	1209	451	577	1053	1149	928	428	1021	928	1103	1129	599	415		
Adgra2	19	360	24	21	285	200	199	18	346	199	318	346	42	20		
Gm45929	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Rtbdn	0	21	2	2	14	17	17	0	18	17	22	20	0	0		
Asb9	0	0	0	1	0	0	1	1	0	1	0	0	0	0		
Cysltr1	6	24	3	10	26	32	10	3	24	10	21	19	6	7		
Ss18l2	143	659	118	142	687	693	548	98	717	548	594	726	160	122		
Olfr883	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr881	0	0	0	1	0	0	0	0	0	0	0	0	0	0		
Olfr877	0	0	0	0	0	1	2	0	0	2	1	1	0	0		
Olfr290	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr291	0	0	0	0	0	0	0	0	0	0	0	1	0	0		
Olfr463	1	0	0	0	0	0	0	0	0	0	1	0	0	0		
Ncr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Ly86	46	214	46	67	187	219	141	65	148	141	198	157	65	54		
Adprh	677	1140	691	875	957	1040	910	700	983	910	989	1014	925	647		
Sqle	500	2511	492	658	1963	2064	1785	539	2168	1785	2184	2132	629	483		
Tbccd1	34	339	14	23	250	314	229	22	272	229	297	295	16	14		
Syt3	188	1023	189	232	782	853	727	219	747	727	954	849	260	179		
Atg9a	495	3345	458	533	2410	2787	2415	532	2305	2415	3070	2529	575	441		
Tent4b	219	1212	186	252	993	1079	1028	176	1147	1028	1108	1028	301	203		
Zfp973	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
Pcbp1	1348	951	1300	1707	787	846	1128	1363	851	1128	888	869	1657	1158		
Mfap1b	0	41	1	0	34	36	20	0	37	20	38	35	0	0		
Olfr651	0	0	0	0	0	0	0	0	0	0	0	2	0	0		
Olfr620	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr912	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr1426	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr1240	0	0	0	0	0	0	0	1	0	0	0	0	0	0		
Olfr136	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Zfp955b	42	716	33	48	606	557	572	29	699	572	613	685	44	41		
Zfp729b	21	505	23	37	393	393	393	22	520	393	388	507	40	34		
Slc16a10	1	72	5	7	66	73	52	8	80	52	68	73	5	9		
Dctd	28	106	19	20	108	132	85	19	103	85	81	109	20	18		
Rab42	16	10	16	22	10	9	2	18	13	2	13	9	23	17		
Cope	744	734	614	881	539	632	606	772	580	606	706	654	884	675		
Ccdc13	20	135	5	8	94	105	91	13	87	91	92	79	11	18		
Mtfp1	201	946	200	273	921	1065	732	218	959	732	776	1022	278	197		
Cmc1	71	131	40	74	109	118	114	80	118	114	94	99	71	83		
Egr4	456	763	172	222	181	327	288	475	255	288	633	182	257	421		
Otor	0	1	0	0	1	1	0	0	0	0	0	1	0	1		
Zc3h8	24	106	33	54	91	111	105	40	113	105	109	132	51	38		
Cda	3	10	2	3	13	13	10	6	10	10	10	9	4	1		
Lrrc8e	1	1	0	1	1	0	3	0	2	3	0	1	0	0		
Tram1	166	1296	156	152	1090	1237	1047	150	1189	1047	1142	1087	180	147		
1700030K09Rik	38	162	43	61	120	141	123	48	152	123	152	169	56	50		
Adh6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Praf2	149	1051	133	188	705	1033	548	150	724	548	980	777	176	140		
Ddit4l	112	452	109	136	376	464	334	142	422	334	439	393	143	128		
Srbd1	60	330	56	82	262	268	252	71	345	252	265	289	96	69		
Cd24a	6	435	8	14	415	465	303	12	412	303	367	411	14	14		
Rpl36a	3	851	0	4	916	883	764	2	920	764	832	1004	6	5		
Cryzl1	260	666	249	356	545	568	584	308	635	584	581	625	312	268		
Chrnd	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Nefh	235	1073	238	400	712	897	652	247	930	652	1028	1028	354	223		
Nfe2l3	23	147	31	42	149	152	84	40	164	84	134	151	33	42		
Nfe2l2	120	300	85	125	215	230	209	100	233	209	239	232	122	116		
Map3k11	42	477	30	35	302	341	279	27	278	279	371	332	40	32		
Clcnka	2	2	1	2	3	0	2	1	4	2	2	2	2	3		
Itfg1	1315	8008	1100	1406	7023	8042	6836	1443	7511	6836	6754	6655	1482	1303		
Satl1	0	0	0	0	0	0	0	0	0	0	1	3	0	0		
Ankrd45	95	1477	86	107	944	1135	966	105	1039	966	1256	1071	126	95		
Golga2	319	1941	350	400	1530	1784	1554	325	1667	1554	1712	1749	456	307		
Rrnad1	25	223	21	34	178	193	134	37	203	134	220	199	51	21		
Cstdc6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Slco4a1	3	28	3	8	14	23	17	0	12	17	13	13	6	3		
Ergic3	441	1289	465	558	1107	1391	971	515	1139	971	1254	1292	628	446		
Lrrc75b	18	250	21	18	231	221	193	13	216	193	230	262	23	6		
Klf8	11	310	16	17	224	222	197	7	265	197	274	232	21	14		
Gm9573	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
Fgfrl1	32	354	49	53	269	355	240	50	291	240	313	283	71	49		
Nxnl1	0	3	0	0	0	3	0	0	0	0	0	2	0	0		
Tmem161a	106	371	88	117	319	258	285	96	283	285	319	312	144	100		
Idi1	15	225	17	15	138	201	196	16	189	196	212	161	36	12		
Fcrls	207	647	171	220	501	633	465	208	554	465	607	503	239	194		
Ntsr1	39	218	53	50	168	199	118	40	218	118	173	234	70	39		
Dysf	12	68	19	37	90	66	62	17	86	62	75	123	33	17		
4930402H24Rik	471	3076	487	630	2755	2661	2417	518	2986	2417	2695	3041	656	479		
Hint2	176	232	149	191	218	192	172	155	229	172	192	208	229	131		
Cbs	163	382	163	238	318	416	298	203	325	298	320	364	228	163		
Cox15	157	836	145	196	651	698	628	176	754	628	766	777	197	162		
Ms4a4d	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Mast1	654	1242	639	931	921	966	935	656	981	935	1003	1030	983	613		
Scn3a	185	2444	175	204	1950	1953	1861	200	2299	1861	2042	2238	233	151		
Vmn1r255	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Dcc	183	1627	244	278	1340	1280	1321	184	1588	1321	1405	1473	331	192		
Pja2	5681	16759	5969	7777	13593	14055	15265	6117	16160	15265	14545	15672	8358	5483		
Rrp36	75	279	89	96	225	238	184	96	236	184	218	251	118	89		
Zfp777	105	520	148	180	387	484	398	161	388	398	515	467	157	107		
Fmo9	0	0	1	0	0	0	0	0	0	0	0	0	0	1		
Tmx2	142	2410	115	147	1875	2203	1963	163	1902	1963	2171	1896	139	142		
Frmd5	95	926	93	123	663	780	642	95	729	642	853	807	116	82		
Iqcg	8	73	27	18	58	47	62	13	61	62	46	50	26	21		
Ergic1	343	3242	322	458	2699	3338	2392	383	2742	2392	2983	2860	471	314		
Msgn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Hps5	37	340	35	85	294	249	215	34	320	215	327	313	47	45		
Arhgap27	45	332	28	46	223	200	220	36	225	220	315	218	28	34		
Cnot1	558	3066	604	786	2374	2392	2546	585	2766	2546	2695	2853	823	532		
Rab15	246	5830	215	334	4692	5225	4673	269	4669	4673	5040	4762	343	230		
Trmo	18	72	18	19	53	58	54	17	69	54	54	62	14	20		
Ccdc190	15	230	30	30	177	265	138	35	182	138	194	196	28	23		
Nrros	17	120	28	16	124	126	95	16	103	95	111	98	31	14		
Eif4a2	2023	11733	1829	2427	10835	10336	9594	2156	12808	9594	9991	12452	2627	2057		
Baat	0	6	0	0	0	3	1	0	4	1	4	6	0	0		
Gm5414	0	0	0	0	0	0	0	1	0	0	0	0	0	0		
Ccdc33	7	14	3	5	5	8	3	13	11	3	3	8	14	7		
Stat3	269	1020	265	323	759	944	774	300	850	774	969	917	335	246		
A530064D06Rik	0	0	0	0	1	0	1	0	0	1	0	0	0	0		
Gid4	61	2308	41	58	1972	2056	1932	56	1833	1932	2018	1812	70	33		
Cspp1	48	480	46	67	312	331	227	46	410	227	382	366	87	45		
Dnase2a	28	57	16	25	69	62	48	25	63	48	62	67	18	18		
Dnase1	0	76	0	0	40	45	45	0	49	45	66	54	0	0		
Dusp22	47	734	44	37	592	587	557	39	627	557	636	640	42	36		
Wnt10a	9	92	7	11	63	106	71	12	72	71	67	48	13	9		
Htra2	91	183	105	129	156	165	148	110	167	148	156	193	132	93		
Tmeff2	313	2118	261	348	1858	1953	1589	281	2041	1589	1776	1988	360	252		
Bloc1s6	105	766	67	117	578	630	636	109	646	636	613	557	124	104		
Hes2	0	0	0	0	0	0	0	1	1	0	0	0	0	0		
Zkscan6	39	270	18	49	208	274	198	61	230	198	227	253	52	34		
Rimbp2	397	3347	433	572	2402	2761	2514	457	2684	2514	2951	2853	575	380		
Pick1	239	647	220	317	578	588	497	229	638	497	607	628	310	214		
Hs6st1	158	1278	181	181	993	1207	909	186	1049	909	1191	1095	221	151		
Cstf3	213	543	184	229	424	361	466	222	486	466	413	492	203	221		
Cables2	20	704	18	34	466	539	486	27	599	486	684	596	33	24		
Gm14743	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Zfp518b	87	652	91	93	521	545	533	94	616	533	495	641	135	91		
Med12	131	413	134	169	288	343	295	118	348	295	379	388	186	113		
Cd164l2	0	35	2	2	34	36	21	1	31	21	37	38	5	2		
Agpat5	342	1721	315	397	1383	1529	1623	342	1516	1623	1474	1453	390	334		
Trpv3	0	48	3	2	21	19	25	1	22	25	34	24	2	0		
Vmn1r123	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vmn1r55	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vmn1r7	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vmn1r119	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Sri	356	1182	329	392	999	1057	956	404	1092	956	1048	1083	436	321		
Tceanc2	57	370	31	42	123	170	295	83	76	295	296	87	42	64		
Timm50	138	350	127	161	220	340	236	145	226	236	326	208	168	126		
Fam189a2	19	205	37	26	159	140	131	31	165	131	209	172	32	27		
Dgat2l6	0	0	0	0	1	0	2	0	2	2	3	2	0	0		
Pabpc1l	2	10	3	3	3	2	0	1	1	0	1	2	3	3		
Gosr1	160	1395	131	171	1144	1214	966	157	1252	966	1259	1223	186	142		
Uqcr11	186	2171	172	216	1858	2310	1386	173	2056	1386	1869	2013	265	188		
Parn	136	465	119	167	363	382	390	138	343	390	429	367	185	122		
Plod2	33	162	29	37	138	136	111	31	142	111	124	145	34	34		
Cldn34c1	4	12	3	3	17	25	12	1	17	12	11	13	3	3		
Als2cl	9	135	10	16	87	117	91	12	94	91	118	136	13	9		
Oscp1	191	1046	158	211	777	924	732	185	730	732	934	837	213	168		
Mettl7b	0	2	1	0	0	1	0	0	0	0	0	0	0	0		
Tcf21	0	0	0	0	0	1	0	0	0	0	0	0	0	0		
Tcf12	170	1371	173	221	1005	1061	984	198	1185	984	1221	1204	226	140		
Acrbp	11	48	6	15	37	34	22	8	45	22	41	50	13	6		
Zfp90	35	310	19	43	276	286	234	29	290	234	266	309	21	19		
Chrnb3	13	23	10	15	17	32	29	6	22	29	36	29	11	8		
Lrfn2	78	393	93	118	433	455	359	108	467	359	368	493	123	66		
Rnf167	158	1266	127	152	984	1146	856	209	937	856	1105	969	168	166		
Rab11fip5	299	2069	334	422	1710	1828	1458	301	1870	1458	1913	1891	492	288		
Lgals9	59	103	44	58	75	89	58	57	100	58	88	124	78	43		
Hephl1	1	0	1	1	2	1	1	0	0	1	0	3	0	0		
Eif4e2	126	1338	135	160	1041	1213	1003	146	1150	1003	1215	1172	174	137		
Ovgp1	0	30	0	0	18	4	6	0	20	6	28	18	1	0		
Ccdc28a	48	376	55	66	302	306	234	59	314	234	334	297	68	64		
Zfp454	12	129	8	16	102	115	96	10	129	96	116	110	13	8		
Hmgcll1	61	515	62	91	375	364	463	61	453	463	470	398	94	53		
Sft2d1	9	161	6	6	153	161	119	8	148	119	145	174	11	5		
Atxn2	740	1746	944	1207	1162	1242	1248	845	1533	1248	1581	1487	1231	732		
Rbpj	4	396	7	10	298	329	299	6	346	299	372	314	11	5		
Rasal1	301	1557	310	402	1240	1362	1256	291	1283	1256	1433	1324	400	287		
Dph6	148	469	94	118	345	354	313	137	385	313	376	398	117	135		
Zcchc12	427	1364	580	775	1579	1482	1109	465	1826	1109	1203	1928	768	405		
Thrap3	136	1164	152	199	1042	1152	1060	163	1204	1060	1132	1334	212	130		
Slc35a5	142	1638	126	154	1227	1335	1241	201	1378	1241	1390	1233	171	170		
Smc1a	700	1609	815	1054	1240	1129	1243	773	1629	1243	1400	1758	1154	672		
Rhox3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Rbm38	13	33	13	13	15	27	16	12	23	16	27	15	14	8		
Sf3b6	266	780	220	324	632	710	575	327	734	575	689	646	307	330		
Gm1110	2	0	0	0	2	1	0	0	0	0	0	0	0	2		
Btbd3	309	4283	291	336	3356	3521	3847	344	3839	3847	3850	3692	376	305		
Tada2a	139	478	112	159	372	396	300	124	415	300	436	394	175	115		
Gsap	17	143	17	26	110	114	103	7	108	103	127	105	25	8		
Il34	163	980	132	178	736	764	716	161	736	716	942	774	153	136		
Lgals3	1	5	3	6	3	10	4	2	6	4	2	7	0	1		
Zbtb2	14	294	17	14	204	248	166	17	237	166	231	240	12	12		
Btk	10	12	1	5	10	13	12	8	9	12	10	17	12	9		
Lpin3	3	13	0	7	6	5	15	2	8	15	11	13	1	0		
C1ra	6	27	7	2	14	18	10	2	18	10	18	12	3	3		
Tmem239	0	5	0	0	1	3	1	0	5	1	4	5	0	0		
